book,author(s),original_language,first_published,approximate_sales_in_millions,amazon_link
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65.0,https://www.amazon.com/Harry-Potter-Deathly-Hallows-Book/dp/B017WJ5PR4/ref=sr_1_1?crid=22ZE6MN7RLHA6&dib=eyJ2IjoiMSJ9.RW3dRQrr5dJpPYW5_BucKBt6w16UWnm0QSGjxD4o2kI572CQuCfar2NmwG92_ueT-fRFL2VZerGWwkhnBTrSVI0KCEPDujsh3S8X7WLKPv5-Yr6k2SYkBu-1Uqw7kaKi.Gg1Hlb7AXt8uMKNe57pAxbpouPeBooUAFxzL0k-Mwhw&dib_tag=se&keywords=Harry+Potter+and+the+Deathly+Hallows&qid=1731961213&s=audible&sprefix=harry+potter+and+the+deathly+hallows%2Caudible%2C114&sr=1-1
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65.0,https://www.amazon.com/The-Alchemist-Paulo-Coelho-audiobook/dp/B000BO2D3C/ref=sr_1_2?crid=2K5O25RAE4WOP&dib=eyJ2IjoiMSJ9.elDXgUa9gVq84SXtSf5-BoDKL4KPr6SAX2Db8j56qWM.ikQjZnqdRMoPbfxeuodQ_e_y0ao6PwZ9NolKmPS8pd4&dib_tag=se&keywords=The+Alchemist+%28O+Alquimista%29&qid=1731961225&s=audible&sprefix=the+alchemist+o+alquimista+%2Caudible%2C90&sr=1-2
The Catcher in the Rye,J. D. Salinger,English,1951,65.0,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177/ref=sr_1_1?crid=1T6I4195O91KV&dib=eyJ2IjoiMSJ9.UsuFzSj-YAZ885TwLHbV21F2VgPIgyOKsW5NJ6OFR146M8h0IS_QBoaj9nyzN3y-D7PR5LjVdPF63QaMXtHO1YXzUR-Wni3UI7XhjchReYge3b_23U-CZQ9wUb9irjeCugM4ZQ6twaWI2-1ybFErNBqn2kiJM_WvX5xXfItZPcYaTExkdfCoSTPwIZmgeiOOCHGrFg7cinsHtq2p9xPndBR5R-mEeJl4N-epXteARjY.CGy8DRTyy7Q4xZAmQDhwGVSPrC-atyOgleiQGMJ81Fo&dib_tag=se&keywords=The+Catcher+in+the+Rye&qid=1731961261&sprefix=the+catcher+in+the+rye%2Caudible%2C76&sr=8-1
The Bridges of Madison County,Robert James Waller,English,1992,60.0,https://www.amazon.com/Bridges-of-Madison-County-audiobook/dp/B00H7HS4QG/ref=sr_1_1?crid=16FJ6SCHV2WBV&dib=eyJ2IjoiMSJ9.UqEXiF-hkvi6ttHfhr44Q_BQ-xj_voPyQI137D5h7F91Lkfhk4T7ZK5_9R-AOxXrNcFKeOv_olzh6NR6pVVObXogo0M9SkzSGmNWwm-Ci-E5bmMU--0oYl9lOt4BJP34AhVb5rLozhfp_K3UL65pcmjBlHuePc_t_7kmflNEFmoojXKuyBfCXbQO3_dK1FiYwUauLUXtkQA-EFGayF35XTjzrU5hBsm6cQTsLy5K2k4.dMbxv0fKQ7uETo4v6pRpxmD2XgVgBORfhoykn0QULyQ&dib_tag=se&keywords=The+Bridges+of+Madison+County&qid=1731961278&sprefix=the+bridges+of+madison+county%2Caps%2C98&sr=8-1
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50.0,https://www.amazon.com/Ben-Hur-Lew-Wallace-audiobook/dp/B004UFXN8C/ref=sr_1_1?crid=39P53M0BW3BDR&dib=eyJ2IjoiMSJ9.RwG-FmSSD12Jmpt6oFX_cT-w_hDm-vTarr_SYMgKhgSYYA7dRVs0YBqvY0c-TOG5.Z3TPOdfdPlTjBpVPcLeny6iecyeDTL7dlLUeLlwav0A&dib_tag=se&keywords=Ben-Hur%3A+A+Tale+of+the+Christ&qid=1731961291&s=audible&sprefix=ben-hur+a+tale+of+the+christ%2Caudible%2C113&sr=1-1
You Can Heal Your Life,Louise Hay,English,1984,50.0,https://www.amazon.com/Heal-Your-Life-40th-Anniversary/dp/B0DDV328CW/ref=sr_1_1?crid=1AYV7EVZWO014&dib=eyJ2IjoiMSJ9.AdJZOxT0cKWXnfomjxAbjec3FWRY_GamD5uKYNgRvSfd3zMt7SDsY7Y2lfBMr3SDVoYvVERPJtScjkXBzYoo7m9996yOGnS0WBfy0el4oJXFrH0CGHUry54_PWll-FTfWzT91p_sCe3iAwcGxIbs5Qvzr8LqikeaY-BSSM-3bpt_vD3fzkN0k-8x6t9Zl74HKWXerxiypv4mS13daEDdv_YB9FV5ZC5M6n5YJCl7RmY.B_T81_zq9TyZZwc0wfhkZ3ZO_Na_r9NJ6IxxgdM_fbs&dib_tag=se&keywords=You+Can+Heal+Your+Life&qid=1731961303&s=audible&sprefix=you+can+heal+your+life%2Caudible%2C111&sr=1-1
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50.0,https://www.amazon.com/Cien-soledad-Hundred-Years-Solitude/dp/B08KFKXJ8S/ref=sr_1_1?crid=E9RRIPU5TW9A&dib=eyJ2IjoiMSJ9.jPHHsXe_-N5IPAP2yxgJqw.baaCpWjWGgUMFng4P4hfXruYkT65mtvUrVW9smAsr68&dib_tag=se&keywords=One+Hundred+Years+of+Solitude+%28Cien+a%C3%B1os+de+soledad%29&qid=1731961318&s=audible&sprefix=one+hundred+years+of+solitude+cien+a%C3%B1os+de+soledad+%2Caudible%2C93&sr=1-1
Lolita,Vladimir Nabokov,English,1955,50.0,https://www.amazon.com/Lolita-Vladimir-Nabokov-audiobook/dp/B000BKHEV2/ref=sr_1_1?crid=EQ5DGXYPXNCY&dib=eyJ2IjoiMSJ9.2CCcG1f0_DD-mEoKWzwUqjRUxnAkQWnh4j5Azs7cAi_q9em3EuLjqppq6Iv2ohv6Gvg0hngjUxv04V0405uDCfkqlGzHVt9th_w8KC0HGEeBp1yy08LhMSp-7EHdRFaFbpY5VNpnZIwktK4Lt82biBKXkJdl45qxq_8H2sL7a-tFzY00MD3JYGaIGLlM-DJZAdDLNX7EQydRidiIdfUKQJ64gjaz5ctuzO2JpS56_fQ.lU8aReJML-AVsyf99_d9peeeeJiGfb-ZbLi7RggaOG0&dib_tag=se&keywords=Lolita&qid=1731967867&s=books&sprefix=lolita%2Cstripbooks%2C92&sr=1-1
Heidi,Johanna Spyri,German,1880,50.0,https://www.amazon.com/Heidi-Johanna-Spyri-audiobook/dp/B000BY8RNW/ref=sr_1_1?crid=3S2FP1JID33AJ&dib=eyJ2IjoiMSJ9.byDk1YudQ0CJBCLKAQJ-zPtJIcyAJR8ekBqGz8gTzR0DDTwG79r3eRlF0X8B12qzNxXL4T85sBbyFC1AzYSTFeoirXdxE2SGKFedzEoOnX-h7kCY3W7RGBXQrmBY7KIZ7lf5mWXxJjSNcIhLi-s9pd1yjiGY7ORLcBRg0i18MN0VsTRfmdHjF-JvkmZQxaHFEmE0eUnp7kdioTFTdAHJEgwTqZ6J7ThwWSQF5W-pITQ.mQiIzF1x9K3IREEvyM3rZyCHqSxaHLtTHI3Whljdqew&dib_tag=se&keywords=Heidi&qid=1731967877&s=audible&sprefix=heidi%2Caudible%2C100&sr=1-1
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50.0,https://www.amazon.com/Spocks-Baby-Child-Care-Tenth/dp/B07HB891D3/ref=sr_1_1?crid=R9GXCGPCRS1X&dib=eyJ2IjoiMSJ9.fiLvRTBH7I0M61t-MAfN8-j-fSuK8cx0C2L6rXwKlhYjHeisCwQUN75CW4UVR3jj3Hlsvruf97d5Xd9z3zM-ZxwbNE-metTIjbVyDasVlem7nxnlvPOLtHGYg66q3-0gOdDSFFEAvyG88_NM2lwN6wB4Hs_YAHvnKH337YurfPHX4XljJ4AZ817Lv5ndmhOU.Roy-sne7Nsf-pwu-SY3HJ60EJiCN-DYVFBpA928v3pw&dib_tag=se&keywords=The+Common+Sense+Book+of+Baby+and+Child+Care&qid=1731967888&s=audible&sprefix=the+common+sense+book+of+baby+and+child+care%2Caudible%2C110&sr=1-1
